MAC Id,Login Time,Session Time,Download,Upload
xx:xx:xx:xx:xx:xx,23-06-25 16:07,0:27:05,492,14
xx:xx:xx:xx:xx:xx,23-06-25 15:40,0:29:36,263,10
xx:xx:xx:xx:xx:xx,23-06-25 15:10,0:27:53,592,30
xx:xx:xx:xx:xx:xx,23-06-25 15:10,0:00:00,0,0
xx:xx:xx:xx:xx:xx,23-06-25 14:42,0:32:19,890,38
xx:xx:xx:xx:xx:xx,23-06-25 14:42,0:00:00,0,0
xx:xx:xx:xx:xx:xx,23-06-25 14:10,0:28:28,399,17
xx:xx:xx:xx:xx:xx,23-06-25 13:41,0:32:06,3465,197
xx:xx:xx:xx:xx:xx,23-06-25 13:09,0:29:20,535,8171
xx:xx:xx:xx:xx:xx,23-06-25 12:40,0:27:01,607,3682
xx:xx:xx:xx:xx:xx,23-06-25 12:13,0:28:08,2293,134
xx:xx:xx:xx:xx:xx,23-06-25 11:45,0:32:56,6242,384
xx:xx:xx:xx:xx:xx,23-06-25 11:12,0:32:39,1156,32
xx:xx:xx:xx:xx:xx,23-06-25 10:39,0:31:39,1530,42
xx:xx:xx:xx:xx:xx,23-06-25 10:08,0:30:01,2157,84
xx:xx:xx:xx:xx:xx,23-06-25 9:38,0:32:09,1766,50
xx:xx:xx:xx:xx:xx,23-06-25 9:05,0:32:57,1195,37
xx:xx:xx:xx:xx:xx,23-06-25 8:32,0:27:45,1728,63
xx:xx:xx:xx:xx:xx,23-06-25 8:05,0:30:58,1286,34
xx:xx:xx:xx:xx:xx,23-06-25 7:34,0:32:51,282,18
xx:xx:xx:xx:xx:xx,23-06-25 7:01,0:30:56,98,9
xx:xx:xx:xx:xx:xx,23-06-25 6:30,0:28:29,889,684
xx:xx:xx:xx:xx:xx,23-06-25 6:01,0:28:22,3429,224
xx:xx:xx:xx:xx:xx,23-06-25 5:33,0:30:12,22,4
xx:xx:xx:xx:xx:xx,23-06-25 5:00,0:13:13,23,2
xx:xx:xx:xx:xx:xx,23-06-25 4:46,0:27:02,161,7
xx:xx:xx:xx:xx:xx,23-06-25 4:19,0:31:17,261,11
xx:xx:xx:xx:xx:xx,23-06-25 3:48,0:28:38,1,1
xx:xx:xx:xx:xx:xx,23-06-25 3:19,0:28:56,1,1
xx:xx:xx:xx:xx:xx,23-06-25 2:50,0:28:20,2,1
xx:xx:xx:xx:xx:xx,23-06-25 2:22,0:29:53,11,2
xx:xx:xx:xx:xx:xx,23-06-25 1:52,0:31:20,36,2
xx:xx:xx:xx:xx:xx,23-06-25 1:21,0:27:54,1,1
xx:xx:xx:xx:xx:xx,23-06-25 0:53,0:30:39,1,1
xx:xx:xx:xx:xx:xx,23-06-25 0:22,0:27:50,2,1
xx:xx:xx:xx:xx:xx,22-06-25 23:54,0:32:38,4033,243
xx:xx:xx:xx:xx:xx,22-06-25 23:22,0:27:11,2810,68
xx:xx:xx:xx:xx:xx,22-06-25 22:55,0:31:37,2928,54
xx:xx:xx:xx:xx:xx,22-06-25 22:23,0:28:47,667,36
xx:xx:xx:xx:xx:xx,22-06-25 21:54,0:27:50,796,36
xx:xx:xx:xx:xx:xx,22-06-25 21:26,0:32:15,625,24
xx:xx:xx:xx:xx:xx,22-06-25 20:54,0:31:12,566,19
xx:xx:xx:xx:xx:xx,22-06-25 20:23,0:29:36,737,28
xx:xx:xx:xx:xx:xx,22-06-25 19:53,0:31:17,747,21
xx:xx:xx:xx:xx:xx,22-06-25 19:22,0:32:58,559,20
xx:xx:xx:xx:xx:xx,22-06-25 18:49,0:27:41,413,13
xx:xx:xx:xx:xx:xx,22-06-25 18:21,0:31:37,917,38
xx:xx:xx:xx:xx:xx,22-06-25 17:50,0:27:48,1717,38
xx:xx:xx:xx:xx:xx,22-06-25 17:22,0:27:27,343,15
xx:xx:xx:xx:xx:xx,22-06-25 16:55,0:30:06,67,14
xx:xx:xx:xx:xx:xx,22-06-25 16:24,0:29:12,47,11
xx:xx:xx:xx:xx:xx,22-06-25 15:55,0:28:27,172,12
xx:xx:xx:xx:xx:xx,22-06-25 15:27,0:29:31,444,13
xx:xx:xx:xx:xx:xx,22-06-25 14:57,0:29:01,208,17
xx:xx:xx:xx:xx:xx,22-06-25 14:28,0:30:43,540,23
xx:xx:xx:xx:xx:xx,22-06-25 13:58,0:32:33,169,13
xx:xx:xx:xx:xx:xx,22-06-25 13:25,0:27:06,98,9
xx:xx:xx:xx:xx:xx,22-06-25 12:58,0:30:29,1540,55
xx:xx:xx:xx:xx:xx,22-06-25 12:27,0:29:53,767,32
xx:xx:xx:xx:xx:xx,22-06-25 11:58,0:30:39,671,23
xx:xx:xx:xx:xx:xx,22-06-25 11:27,0:28:34,772,19
xx:xx:xx:xx:xx:xx,22-06-25 10:58,0:27:42,275,14
xx:xx:xx:xx:xx:xx,22-06-25 10:31,0:27:40,92,8
xx:xx:xx:xx:xx:xx,22-06-25 10:03,0:30:14,305,18
xx:xx:xx:xx:xx:xx,22-06-25 9:33,0:32:33,46,9
xx:xx:xx:xx:xx:xx,22-06-25 9:00,0:27:03,63,6
xx:xx:xx:xx:xx:xx,22-06-25 8:33,0:30:00,344,15
xx:xx:xx:xx:xx:xx,22-06-25 8:03,0:29:41,148,13
xx:xx:xx:xx:xx:xx,22-06-25 7:33,0:31:07,248,14
xx:xx:xx:xx:xx:xx,22-06-25 7:02,0:27:24,451,14
xx:xx:xx:xx:xx:xx,22-06-25 6:35,0:29:23,8,4
xx:xx:xx:xx:xx:xx,22-06-25 6:06,0:32:25,5,2
xx:xx:xx:xx:xx:xx,22-06-25 5:33,0:31:33,4,2
xx:xx:xx:xx:xx:xx,22-06-25 5:00,0:20:53,220,11
xx:xx:xx:xx:xx:xx,22-06-25 4:39,0:32:00,1,1
xx:xx:xx:xx:xx:xx,22-06-25 4:07,0:30:21,2,2
xx:xx:xx:xx:xx:xx,22-06-25 3:36,0:30:33,4,3
xx:xx:xx:xx:xx:xx,22-06-25 3:06,0:28:56,34,1
xx:xx:xx:xx:xx:xx,22-06-25 2:37,0:27:31,1,1
xx:xx:xx:xx:xx:xx,22-06-25 2:09,0:29:32,173,4
xx:xx:xx:xx:xx:xx,22-06-25 1:40,0:27:05,2,1
xx:xx:xx:xx:xx:xx,22-06-25 1:13,0:27:36,178,6
xx:xx:xx:xx:xx:xx,22-06-25 0:45,0:29:29,347,12
xx:xx:xx:xx:xx:xx,22-06-25 0:16,0:28:55,343,8
xx:xx:xx:xx:xx:xx,21-06-25 23:47,0:31:03,304,12
xx:xx:xx:xx:xx:xx,21-06-25 23:16,0:31:47,681,33
xx:xx:xx:xx:xx:xx,21-06-25 22:44,0:28:25,4576,369
xx:xx:xx:xx:xx:xx,21-06-25 22:15,0:29:02,396,22
xx:xx:xx:xx:xx:xx,21-06-25 21:46,0:27:52,1387,53
xx:xx:xx:xx:xx:xx,21-06-25 21:19,0:30:25,672,34
xx:xx:xx:xx:xx:xx,21-06-25 20:48,0:28:03,471,26
xx:xx:xx:xx:xx:xx,21-06-25 20:20,0:31:10,137,8
xx:xx:xx:xx:xx:xx,21-06-25 19:49,0:29:37,109,6
xx:xx:xx:xx:xx:xx,21-06-25 19:19,0:32:24,1402,28
xx:xx:xx:xx:xx:xx,21-06-25 18:47,0:28:10,12995,204
xx:xx:xx:xx:xx:xx,21-06-25 18:19,0:32:00,11053,146
xx:xx:xx:xx:xx:xx,21-06-25 17:47,0:27:43,569,19
xx:xx:xx:xx:xx:xx,21-06-25 17:19,0:27:30,1384,51
xx:xx:xx:xx:xx:xx,21-06-25 16:51,0:32:12,919,28
xx:xx:xx:xx:xx:xx,21-06-25 16:19,0:32:44,1610,39
xx:xx:xx:xx:xx:xx,21-06-25 15:47,0:29:11,608,29
xx:xx:xx:xx:xx:xx,21-06-25 15:17,0:31:15,73,20
xx:xx:xx:xx:xx:xx,21-06-25 14:46,0:29:54,440,28
xx:xx:xx:xx:xx:xx,21-06-25 14:16,0:30:16,222,14
xx:xx:xx:xx:xx:xx,21-06-25 13:46,0:31:52,236,22
xx:xx:xx:xx:xx:xx,21-06-25 13:14,0:32:32,92,8
xx:xx:xx:xx:xx:xx,21-06-25 12:42,0:31:03,1105,36
xx:xx:xx:xx:xx:xx,21-06-25 12:10,0:30:45,9338,270
xx:xx:xx:xx:xx:xx,21-06-25 11:40,0:31:28,5873,292
xx:xx:xx:xx:xx:xx,21-06-25 11:08,0:29:07,1392,27
xx:xx:xx:xx:xx:xx,21-06-25 10:39,0:30:41,914,18
xx:xx:xx:xx:xx:xx,21-06-25 10:08,0:31:27,736,18
xx:xx:xx:xx:xx:xx,21-06-25 9:37,0:31:26,1007,30
xx:xx:xx:xx:xx:xx,21-06-25 9:06,0:29:51,352,14
xx:xx:xx:xx:xx:xx,21-06-25 8:36,0:32:21,220,11
xx:xx:xx:xx:xx:xx,21-06-25 8:03,0:28:11,189,7
xx:xx:xx:xx:xx:xx,21-06-25 7:35,0:29:20,374,13
xx:xx:xx:xx:xx:xx,21-06-25 7:06,0:31:25,250,15
xx:xx:xx:xx:xx:xx,21-06-25 6:34,0:30:14,150,8
xx:xx:xx:xx:xx:xx,21-06-25 6:04,0:30:22,25,3
xx:xx:xx:xx:xx:xx,21-06-25 5:34,0:30:55,6,2
xx:xx:xx:xx:xx:xx,21-06-25 5:00,0:19:09,0,0
xx:xx:xx:xx:xx:xx,21-06-25 4:40,0:30:41,1,0
xx:xx:xx:xx:xx:xx,21-06-25 4:10,0:32:49,8,2
xx:xx:xx:xx:xx:xx,21-06-25 3:37,0:27:31,1,0
xx:xx:xx:xx:xx:xx,21-06-25 3:09,0:32:41,1,0
xx:xx:xx:xx:xx:xx,21-06-25 2:37,0:32:03,0,0
xx:xx:xx:xx:xx:xx,21-06-25 2:05,0:30:35,1,1
xx:xx:xx:xx:xx:xx,21-06-25 1:34,0:28:03,127,12
xx:xx:xx:xx:xx:xx,21-06-25 1:06,0:31:27,1303,57
xx:xx:xx:xx:xx:xx,21-06-25 0:35,0:30:35,3644,97
xx:xx:xx:xx:xx:xx,21-06-25 0:04,0:30:36,1038,35
xx:xx:xx:xx:xx:xx,20-06-25 23:33,0:29:21,376,27
xx:xx:xx:xx:xx:xx,20-06-25 23:04,0:30:03,917,58
xx:xx:xx:xx:xx:xx,20-06-25 22:34,0:31:43,801,64
xx:xx:xx:xx:xx:xx,20-06-25 22:02,0:27:26,678,71
xx:xx:xx:xx:xx:xx,20-06-25 21:35,0:29:25,430,53
xx:xx:xx:xx:xx:xx,20-06-25 21:05,0:27:53,214,19
xx:xx:xx:xx:xx:xx,20-06-25 20:38,0:30:19,145,13
xx:xx:xx:xx:xx:xx,20-06-25 20:07,0:31:10,229,17
xx:xx:xx:xx:xx:xx,20-06-25 19:36,0:30:29,137,20
xx:xx:xx:xx:xx:xx,20-06-25 19:06,0:28:39,368,22
xx:xx:xx:xx:xx:xx,20-06-25 18:37,0:27:39,218,12
xx:xx:xx:xx:xx:xx,20-06-25 18:09,0:32:27,157,19
xx:xx:xx:xx:xx:xx,20-06-25 17:37,0:29:30,180,10
xx:xx:xx:xx:xx:xx,20-06-25 17:07,0:30:59,215,14
xx:xx:xx:xx:xx:xx,20-06-25 16:36,0:29:19,4581,167
xx:xx:xx:xx:xx:xx,20-06-25 16:07,0:28:24,2014,69
xx:xx:xx:xx:xx:xx,20-06-25 15:39,0:29:25,888,48
xx:xx:xx:xx:xx:xx,20-06-25 15:09,0:33:00,933,43
xx:xx:xx:xx:xx:xx,20-06-25 14:36,0:28:11,234,21
xx:xx:xx:xx:xx:xx,20-06-25 14:08,0:31:46,579,28
xx:xx:xx:xx:xx:xx,20-06-25 13:36,0:28:50,436,28
xx:xx:xx:xx:xx:xx,20-06-25 13:07,0:31:11,641,38
xx:xx:xx:xx:xx:xx,20-06-25 12:36,0:32:04,393,38
xx:xx:xx:xx:xx:xx,20-06-25 12:04,0:29:01,91,13
xx:xx:xx:xx:xx:xx,20-06-25 11:35,0:30:57,119,13
xx:xx:xx:xx:xx:xx,20-06-25 11:04,0:30:24,293,14
xx:xx:xx:xx:xx:xx,20-06-25 10:34,0:29:51,381,17
xx:xx:xx:xx:xx:xx,20-06-25 10:04,0:30:18,322,18
xx:xx:xx:xx:xx:xx,20-06-25 9:34,0:30:28,353,19
xx:xx:xx:xx:xx:xx,20-06-25 9:03,0:29:50,633,13
xx:xx:xx:xx:xx:xx,20-06-25 8:33,0:27:59,228,10
xx:xx:xx:xx:xx:xx,20-06-25 8:05,0:27:01,330,16
xx:xx:xx:xx:xx:xx,20-06-25 7:38,0:30:41,189,8
xx:xx:xx:xx:xx:xx,20-06-25 7:08,0:30:50,164,10
xx:xx:xx:xx:xx:xx,20-06-25 6:37,0:32:53,137,4
xx:xx:xx:xx:xx:xx,20-06-25 6:04,0:32:27,73,9
xx:xx:xx:xx:xx:xx,20-06-25 5:31,0:28:30,86,6
xx:xx:xx:xx:xx:xx,20-06-25 5:00,0:18:28,1,1
xx:xx:xx:xx:xx:xx,20-06-25 4:41,0:29:04,1,1
xx:xx:xx:xx:xx:xx,20-06-25 4:12,0:27:02,2,1
xx:xx:xx:xx:xx:xx,20-06-25 3:45,0:28:51,83,6
xx:xx:xx:xx:xx:xx,20-06-25 3:16,0:31:32,119,5
xx:xx:xx:xx:xx:xx,20-06-25 2:45,0:28:20,3,2
xx:xx:xx:xx:xx:xx,20-06-25 2:16,0:27:11,1,1
xx:xx:xx:xx:xx:xx,20-06-25 1:49,0:32:34,132,4
xx:xx:xx:xx:xx:xx,20-06-25 1:16,0:30:28,1,1
xx:xx:xx:xx:xx:xx,20-06-25 0:46,0:29:01,32,4
xx:xx:xx:xx:xx:xx,20-06-25 0:17,0:32:04,197,5
xx:xx:xx:xx:xx:xx,19-06-25 23:45,0:29:16,91,7
xx:xx:xx:xx:xx:xx,19-06-25 23:16,0:30:37,69,8
xx:xx:xx:xx:xx:xx,19-06-25 22:45,0:27:50,465,21
xx:xx:xx:xx:xx:xx,19-06-25 22:17,0:30:51,506,45
xx:xx:xx:xx:xx:xx,19-06-25 21:46,0:29:09,446,54
